2023/02/06 17:38:28.202 [D] [mysql.go:92]  Execute SQL with DSN(srd-mariadb102-01-qcsh-test.nioint.com:3306/mer_order_sit) : select @@version
2023/02/06 17:38:28.417 [W] [env.go:77]  BuildEnv AllowOnlineAsTest: OnlineDSN not config, use TestDSN： mer_order_sit_rw:********@srd-mariadb102-01-qcsh-test.nioint.com:3306/mer_order_sit as OnlineDSN
2023/02/06 17:38:28.417 [D] [mysql.go:92]  Execute SQL with DSN(srd-mariadb102-01-qcsh-test.nioint.com:3306/mer_order_sit) : select @@version
2023/02/06 17:38:28.542 [D] [tool.go:227]  initQuery get query from file: order-middle.sql
2023/02/06 17:38:28.543 [D] [soar.go:137]  main loop SQL: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:38:28.545 [D] [tricks.go:131]  Entering function: JSONFind
2023/02/06 17:38:28.546 [D] [tricks.go:141]  Exiting function: JSONFind
2023/02/06 17:38:28.546 [D] [tricks.go:131]  Entering function: JSONFind
2023/02/06 17:38:28.546 [D] [tricks.go:141]  Exiting function: JSONFind
2023/02/06 17:38:28.546 [D] [soar.go:233]  start of heuristic advisor Query: select id, refund_no, pickup_order_no, order_status, cancel_operator, pickup_province, pickup_city, pickup_region, pickup_address, pickup_address_id, pickup_name, pickup_tel, pickup_start_time, pickup_end_time, courier_name, courier_tel, pickup_code, customer_code from jd_pickup_order where order_status =2 order by id desc limit 0,200
2023/02/06 17:38:28.546 [D] [meta.go:201]  Enter:  FindColumn, Caller: github.com/XiaoMi/soar/advisor.(*Query4Audit).RuleNoDeterministicGroupby.func1
2023/02/06 17:38:28.546 [D] [meta.go:201]  Enter:  FindColumn, Caller: github.com/XiaoMi/soar/advisor.(*Query4Audit).RuleNoDeterministicGroupby.func1
2023/02/06 17:38:28.685 [D] [tricks.go:131]  Entering function: JSONFind
2023/02/06 17:38:28.685 [D] [tricks.go:141]  Exiting function: JSONFind
2023/02/06 17:38:28.685 [D] [tricks.go:131]  Entering function: JSONFind
2023/02/06 17:38:28.685 [D] [tricks.go:141]  Exiting function: JSONFind
2023/02/06 17:38:28.685 [D] [tricks.go:131]  Entering function: JSONFind
2023/02/06 17:38:28.685 [D] [tricks.go:141]  Exiting function: JSONFind
2023/02/06 17:38:28.686 [D] [tricks.go:131]  Entering function: JSONFind
2023/02/06 17:38:28.686 [D] [tricks.go:141]  Exiting function: JSONFind
